text,target
"From: ddeciacco@cix.compulink.co.uk (David Deciacco) Subject: Re: Another CVIEW question (wa Reply-To: ddeciacco@cix.compulink.co.uk Lines: 5   In-Reply-To: <20APR199312262902@rigel.tamu.edu> lmp8913@rigel.tamu.edu (PRESTON, LISA M)  I have a trident card and fullview works real gif jpg try it# dave ",comp.graphics
"From: pgf@srl03.cacs.usl.edu (Phil G. Fraering) Subject: Re: Comet in Temporary Orbit Around Jupiter? Article-I.D.: srl03.pgf.734063192 Organization: Univ. of Southwestern Louisiana Lines: 22  shag@aero.org (Rob Unverzagt) writes:  >In article <5APR199318045045@kelvin.jpl.nasa.gov> baalke@kelvin.jpl.nasa.gov (Ron Baalke) writes: >> According the IAU Circular #5744, Comet Shoemaker-Levy 1993e, may be >> temporarily in orbit around Jupiter.  The comet had apparently made a >> close flyby of Jupiter sometime in 1992 resulting in the breakup of the >> comet.  Attempts to determine the comet's orbit has been complicated by >> the near impossibility of measuring the comet's center of mass. >>  >Am I missing something -- what does knowing the comet's center >of mass do for you in orbit determination?  >Shag  I'm not sure, but it almost sounds like they can't figure out where the  _nucleus_ is within the coma. If they're off by a couple hundred miles, well, you can imagine the rest...  -- Phil Fraering         |""Seems like every day we find out all sorts of stuff. pgf@srl02.cacs.usl.edu|Like how the ancient Mayans had televison."" Repo Man ",sci.space
"From: kph2q@onyx.cs.Virginia.EDU (Kenneth Hinckley) Subject:   VOICE INPUT -- vendor information needed Reply-To: kph2q@onyx.cs.Virginia.EDU (Kenneth Hinckley) Organization: University of Virginia Lines: 27   Hello,      I am looking to add voice input capability to a user interface I am developing on an HP730 (UNIX) workstation.  I would greatly appreciate  information anyone would care to offer about voice input systems that are  easily accessible from the UNIX environment.        The names or adresses of applicable vendors, as well as any  experiences you have had with specific systems, would be very helpful.       Please respond via email; I will post a summary if there is  sufficient interest.   Thanks, Ken   P.S.  I have found several impressive systems for IBM PC's, but I would  like to avoid the hassle of purchasing and maintaining a separate PC if  at all possible.  ------------------------------------------------------------------------------- Ken Hinckley (kph2q@virginia.edu) University of Virginia  Neurosurgical Visualization Laboratory ------------------------------------------------------------------------------- ",comp.graphics
"From: pyron@skndiv.dseg.ti.com (Dillon Pyron) Subject: Re: A WRENCH in the works? Lines: 31 Nntp-Posting-Host: skndiv.dseg.ti.com Reply-To: pyron@skndiv.dseg.ti.com Organization: TI/DSEG VAX Support   In article <25228@ksr.com>, jfw@ksr.com (John F. Woods) writes: >nanderso@Endor.sim.es.com (Norman Anderson) writes: >>jmcocker@eos.ncsu.edu (Mitch) writes: >>>effect that one of the SSRBs that was recovered after the >>>recent space shuttle launch was found to have a wrench of >>>some sort rattling around apparently inside the case. >>I heard a similar statement in our local news (UTAH) tonight. They referred >>to the tool as ""...the PLIERS that took a ride into space..."". They also >>said that a Thiokol (sp?) employee had reported missing a tool of some kind >>during assembly of one SRB.  It was a test of the first reusable tool.  > >I assume, then, that someone at Thiokol put on their ""manager's hat"" and said >that pissing off the customer by delaying shipment of the SRB to look inside >it was a bad idea, regardless of where that tool might have ended up. > >Why do I get the feeling that Thiokol ""manager's hats"" are shaped like cones?  Pointy so they can find them or so they will stick into their pants better, and be closer to their brains? -- Dillon Pyron                      | The opinions expressed are those of the TI/DSEG Lewisville VAX Support    | sender unless otherwise stated. (214)462-3556 (when I'm here)     | (214)492-4656 (when I'm home)     |Texans: Vote NO on Robin Hood.  We need pyron@skndiv.dseg.ti.com          |solutions, not gestures. PADI DM-54909                     |  ",sci.space
"From: jbrown@batman.bmd.trw.com Subject: Re: Death Penalty / Gulf War Lines: 232  In article <930419.115707.6f2.rusnews.w165w@mantis.co.uk>, mathew <mathew@mantis.co.uk> writes: > jbrown@batman.bmd.trw.com writes: >>In article <930414.121019.7E4.rusnews.w165w@mantis.co.uk>, mathew >><mathew@mantis.co.uk> writes: >>> Yes.  Fortunately we have right-thinking folks like your good self in power >>> and it was therefore deemed acceptable to slaughter tens or even hundreds o >>> thousands of Iraqis in order to liberate oil^H^H^HKuwait.  We won the war, >>> hurrah hurrah! >>  >> The number of civilian Iraqi deaths were way over-exaggerated and  >> exploited for anti-war emotionalism by the liberal news media.  The >> facts are that less Iraqis died in the Gulf War than did civilians  >> in any other war of comparable size this century! >  > Let's analyze this claim a little.  How is the ""size"" of a war defined?  By > number of participants?  Geographical area?  Number of countries involved?  > Number of casualties?  Size of armies, duration, numbers of casualties both absolute and as a percentage of those involved, geographical area and numbers of countries too, are all measures of size.  In this case I'd say the relevant statistic would be the number of combatants (total troops) compared to total casualties from among the total civilian population in the affected geographical area.  >  > Which other ""comparable"" wars are we talking about?  Vietnam and Korea might make good comparisons.  >  > Which ""liberal news media"" are we talking about? >   Western news in general, but in particular the American ""mass media"": CBS, NBC, ABC, etc.  The general tone of the news during the whole war was one of ""those poor, poor Iraqis"" along with ""look how precisely this cruise missile blew this building to bits"".  >>                                                    This was due mostly >> to the short duration coupled with precise surgical bombing techniques >> which were technically possible only recently. >  > I suspect that medical advances may have something to do with it too.  I agree.  >  >> How about all the innocent people who died in blanket-bombing in WW2? >> I don't hear you bemoaning them! >  > Perhaps because the topic hasn't cropped up.  If you want my opinion, I think > that the blanket bombing of German cities at the end of World War Two was the > most appalling act of wholesale slaughter this country has committed in > centuries.  Bomber Harris was no hero of mine.  Perhaps so.  And maybe the atomic bomb was a mistake too.  But that's easy to say from our ""enlightened"" viewpoint here in the 90's, right?  Back then, it was *all-out* war, and Germany and Japan had to be squashed. After all, a million or more British had already died, hundreds of  thousands of French, a couple hundread thousand or so Americans, and  millions of Russians, not to mention a few million Jews, Poles, and  other people of slavic descent in German concentration camps.  All  things considered, the fire-bombings and the atomic bomb were essential (and therefore justified) in bringing the war to a quick end to avoid even greater allied losses.  I, for one, don't regret it.  >  >>                                 War is never an exact science, but >> with smart bombs, it's becoming more exact with a smaller percentage >> of civilian casualties.  Sometimes mistakes are made; targets are >> misidentified; innocents die.  That's war the way it really is. >  > Entrenched political rulers operating in their own selfish interests without > regard for the lives of other people, *that* is the way war really is.  Sure.  And it's the people who suffer because of them.  All the more reason to depose these ""entrenched political rulers operating in their own selfish interests""!  Or do you mean that this applies to the allies as well??  >  > Why all the fuss about Kuwait and not East Timor, Bosnia, or even Tibet?  If > Iraq is so bad, why were we still selling them stuff a couple of weeks before > we started bombing?  I make no claim or effort to justify the misguided foreign policy of the West before the war.  It is evident that the West, especially America, misjudged Hussein drastically.  But once Hussein invaded Kuwait and  threatened to militarily corner a significant portion of the world's oil supply, he had to be stopped.  Sure the war could have been prevented by judicious and concerted effort on the part of the West before Hussein invaded Kuwait, but it is still *Hussein* who is responsible for his decision to invade.  And once he did so, a strong response from the West was required.  >  >> Mathew, your sarcasm is noted but you are completely off-base here. >> You come off sounding like a complete peace-nik idiot, although I >> feel sure that was not your intent. >  > What's your intent?  To sound like a Loving Christian?  Well, you aren't > doing a very good job of it.  Well, it's not very ""loving"" to allow a Hussein or a Hitler to gobble up nearby countries and keep them.  Or to allow them to continue with mass slaughter of certain peoples under their dominion.  So, I'd have to say yes, stopping Hussein was the most ""loving"" thing to do for the most people involved once he set his mind on military conquest. >  >> So the Iraqi war was wrong, eh?  I'm sure that appeasement would have >> worked better than war, just like it did in WW2, eh? >  > Who even mentioned appeasement?  And what makes you think the situation is > even remotely analogous to World War Two?  I mentioned it.  If we hadn't intervened, allowing Hussein to keep Kuwait, then it would have been appeasement.  It is precisely the lessons the world learned in WW2 that motivated the Western alliance to war.  Letting Hitler take Austria and Czechoslavkia did not stop WW2 from happening, and letting Hussein keep Kuwait would not have stopped an eventual Gulf War to protect Saudi Arabia.  >  >>                                                           I guess we >> shouldn't have fought WW2 either -- just think of all those innocent >> German civilians killed in Dresden and Hamburg. >  > Yes, do.  Germans are human too, you know. >   Sure.  What was truly unfortunate was that they followed Hitler in his grandiose quest for a ""Thousand Year Reich"".  The consequences stemmed from that.  >> Tyrants like Hussein *have* to be stopped.  His kind don't understand >> diplomacy; they only understand the point of a gun.  My only regret is >> that Bush wimped out and didn't have the military roll into Baghdad, so >> now Hussein is still in power and the Iraqi people's sacrifice (not to >> mention the 357 Americans who died) was for naught. >  > I look forward to hearing your incisive comments about East Timor and Tibet. >  What should I say about them?  Anything in particular?   >> And as for poor, poor Rodney King!  Did you ever stop and think *why* >> the jury in the first trial brought back a verdict of ""not guilty""? >  > Yes.  Amongst the things I thought were ""Hmm, there's an awful lot of white > people in that jury.""  So?  It was the *policemen* on trial not Rodney King!!  And under American law they deserved a jury of *their* peers!  If there had been black officers involved, I'm sure their would have been black jurors too. This point (of allegedly racial motivations) is really shallow.  >  >> Those who have been foaming at the mouth for the blood of those >> policemen certainly have looked no further than the video tape. >> But the jury looked at *all* the evidence, evidence which you and I >> have not seen. >  > When I see a bunch of policemen beating someone who's lying defenceless on > the ground, it's rather hard to imagine what this other evidence might have > been.  So?  It's ""hard to imagine""?  So when has Argument from Incredulity gained acceptance from the revered author of ""Constructing a Logical Argument""?  Can we expect another revision soon??  :)  (Just kidding.)  >  > If there is some wonderful evidence, why is it seemingly being kept secret?  > Why not tell everyone what it is?  Then everyone could say ""Oh, yes, you're > right, King deserved a good beating"", and we could all live happily ever > after.  I have to admit that I wonder this too.  But *neither* the prosecution nor the defense is talking.  So one cannot conclude either way due to the silence of the principals.    >  >> Law in this country is intended to protect the rights of the accused, >> whether they be criminals or cops.  One is not found guilty if there is >> a reasonable doubt of one's guilt, and only the jury is in a position >> to assess the evidence and render a verdict. >  > Fine, but I'm still finding it hard to imagine what the ""reasonable doubt"" > was in this case.  I mean, the cops certainly seem to be beating someone > who's lying defenceless on the ground.  What's your explanation?  Mass > hallucination?  Orbital mind-control lasers?  Faked video footage?  Do tell. >   OK.  It certainly seemed to me that there was excessive force involved. And frankly, the original ""not guilty"" verdict baffled me too.  But then I learned that the prosecution in the first case did not try to convict on a charge of excessive force or simple assault which they probably would have won, they tried to get a conviction on a charge of aggravated assault with intent to inflict serious bodily harm.  A charge, which news commentators said, was akin to attempted murder under California law.  Based on what the prosecution was asking for, it's evident that  the first jury decided that the officers were ""not guilty"".  Note,  not ""not guilty"" of doing wrong, but ""not guilty"" of aggravated assault  with the *intent* of inflicting serious bodily harm.  The seeds of the  prosecutions defeat were in their own overconfidence in obtaining a  verdict such that they went for the most extreme charge they could.  If the facts as the news commentators presented them are true, then I feel the ""not guilty"" verdict was a reasonable one.  >  > mathew > [ ""Thou shalt not kill... unless thou hast a pretty good reason for killing, >    in which case thou shalt kill, and also kill anyone who gets in the way, >    as unfortunately it cannot be helped."" >                                    -- Jim Brown Bible for Loving Christians ]  Thanks mathew, I like the quote.  Pretty funny actually.  (I'm a  Monty Python fan, you know.  Kind of seems in that vein.)  Of course, oversimplifying any moral argument can make it seem contradictory.  But then, you know that already.    Regards,  Jim B. Loving Christian  :)  ",alt.atheism
"From: dpage@ra.csc.ti.com (Doug Page) Subject: Re: Quaint US Archaisms Nntp-Posting-Host: ra Organization: Texas Instruments Lines: 41  In article <C512wC.B0M.1@cs.cmu.edu>, nickh@CS.CMU.EDU (Nick Haines) writes: |> In article <1993Apr2.170157.24251@ke4zv.uucp> gary@ke4zv.uucp (Gary Coffman) writes: |>  <stuff deleted> |> Of course the units of force have the same names as those of weight, |> but in order to use them you need to keep useful constants like the |> omnipresent 32.???? ft/sec^2 around. |>  |> Maybe you'd like to go over again how this system is _so_ natural and |> _so_ easy to use, Gary? While you're at it, you can figure out for us |> the weight of 17 barrels and a quart of foo (density 17lb 2 3/4 oz per |> cubic foot) on the moon (gravity 5 ft 7 3/32 in/sec^2). Let's face it, |> even the imperial system uses a basically metric way of relating |> quantities (i.e. that would be written as 5.59 ft/sec^2); the only |> thing you're hanging on to is the right to express the same quantity |> as 1731 inches, 144.25 feet, 48.0833 yards or 2.186 chains. What |> everyone else is saying is _why_ do you want to do that? |>  |> Any apparent remaining complexity in the SI system is due to the |> multiplicity of the aforesaid prefixes. In fact what's going on (and |> the fundamental difference between SI and imperial) is that you have |> exactly one unit of each type, and all values of that type are |> expressed as some multiple of the unit.  You mean like: seconds, minutes, hours, days, months, years. . .  :-)  Remember,  the Fahrenheit temperature scale is also a centigrade scale.  Some revisionists tell the history something like this:  The coldest point in a particular Russian winter was marked on the thermometer as was the body temperature of a volunteer (turns out he was sick, but you can't win 'em all). Then the space in between the marks on the thermometer was then divided into hundredths. 								:-)  FWIW,  Doug Page   ***  The opinions are mine (maybe), and do not necessarily represent those  *** ***  of my employer (or any other sane person, fot that matter).            *** ",sci.space
"From: henry@zoo.toronto.edu (Henry Spencer) Subject: Re: Orion drive in vacuum -- how? Organization: U of Toronto Zoology Lines: 17  In article <1quh78INNf45@elroy.jpl.nasa.gov> pjs@euclid.jpl.nasa.gov writes: >> >The National Air & Space Museum has both the prototype and the film. >> >When I was there, some years ago, they had the prototype on display... >> Great! I'll visit the National Air and Space Museum at the end of the >> month... > >Sorry to put a damper on your plans, but I was there three weeks ago and >it wasn't there.  Not that I would have known to look for it, of course, >but I combed the space exhibits pretty thoroughly and something like that >would have caught my attention instantly.  It wasn't especially prominent, as I recall.  However, quite possibly it's no longer on display; NASM, like most museums, has much more stuff than it can display at once, and does rotate the displays occasionally. --  All work is one man's work.             | Henry Spencer @ U of Toronto Zoology                     - Kipling           |  henry@zoo.toronto.edu  utzoo!henry ",sci.space
"From: edm@twisto.compaq.com (Ed McCreary) Subject: Re: Federal Hearing In-Reply-To: dmcgee@uluhe.soest.hawaii.edu's message of Fri, 16 Apr 1993 04: 21:09 GMT Organization: Compaq Computer Corp Distribution: usa Lines: 19  >>>>> On Fri, 16 Apr 1993 04:21:09 GMT, dmcgee@uluhe.soest.hawaii.edu (Don McGee) said: DM> Fact or rumor....?  Madalyn Murray O'Hare an atheist who eliminated the DM> use of the bible reading and prayer in public schools 15 years ago is now DM> going to appear before the FCC with a petition to stop the reading of the DM> Gospel on the airways of America.  And she is also campaigning to remove DM> Christmas programs, songs, etc from the public schools.  If it is true DM> then mail to Federal Communications Commission 1919 H Street Washington DC DM> 20054 expressing your opposition to her request.  Reference Petition number  DM> 2493.  False.  This story has been going around for years.  There's not a drop of truth.  Note that I don't care for O'Hare (O'Hair?) myself, but this is one thing she's not guilty of.  -- Ed McCreary                                               ,__o edm@twisto.compaq.com                                   _-\_<,  ""If it were not for laughter, there would be no Tao.""  (*)/'(*) ",talk.religion.misc
"From: aws@iti.org (Allen W. Sherzer) Subject: Re: Conference on Manned Lunar Exploration. May 7 Crystal City Organization: Evil Geniuses for a Better Tomorrow Distribution: na Lines: 19  In article <C5rHoC.Fty@news.cso.uiuc.edu> jbh55289@uxa.cso.uiuc.edu (Josh Hopkins) writes:   >I remeber reading the comment that General Dynamics was tied into this, in  >connection with their proposal for an early manned landing.  Sorry I don't  >rember where I heard this, but I'm fairly sure it was somewhere reputable.  >Anyone else know anything on this angle?  If by that you mean anything on the GD approach, there was an article on it in a recent Avation Week. I don't remember the exact date but it was recent.   Allen  --  +---------------------------------------------------------------------------+ | Lady Astor:   ""Sir, if you were my husband I would poison your coffee!""   | | W. Churchill: ""Madam, if you were my wife, I would drink it.""             | +----------------------56 DAYS TO FIRST FLIGHT OF DCX-----------------------+ ",sci.space
"From: neideck@nestvx.enet.dec.com (Burkhard Neidecker-Lutz) Subject: Re: Rumours about 3DO ??? Organization: CEC Karlsruhe Lines: 17 NNTP-Posting-Host: NESTVX  In article <1993Apr15.164940.11632@mercury.unt.edu> Sean McMains <mcmains@unt.edu> writes: >Wow! A 68070! I'd be very interested to get my hands on one of these, >especially considering the fact that Motorola has not yet released the >68060, which is supposedly the next in the 680x0 lineup. 8-D  The 68070 is a variation of the 68010 that was done a few years ago by the European partners of Motorola. It has some integrated I/O controllers and half a MMU, but otherwise it's a 68010. Think of it the same as the 8086 and 80186 were.  		Burkhard Neidecker-Lutz  Distributed Multimedia Group, CEC Karlsruhe          EERP Portfolio Manager Software Motion Pictures & BERKOM II Project         Multimedia Base Technology Digital Equipment Corporation neidecker@nestvx.enet.dec.com  ",comp.graphics
"From: jmeritt@mental.mitre.org Subject: God's promise of Peace Organization: UTexas Mail-to-News Gateway Lines: 6 NNTP-Posting-Host: cs.utexas.edu  PSA 145:9  The LORD is good to all: and his  tender  mercies  are over all his works.  JER 13:14  And I will dash them one against another, even the fa- thers and the sons together, saith the LORD: I will not pity, nor spare, nor have mercy, but destroy them. ",talk.religion.misc
