,Unnamed: 0,text,target
10,10,from prbaccessdigexcom pat subject re comet in temporary orbit around jupiter organization express access online communications usa lines 23 distribution world nntppostinghost accessdigexnet  in article 6apr199314571378kelvinjplnasagov baalkekelvinjplnasagov ron baalke writes comet gehrels 3 which was discovered in 1977 was determined to have been in a temporary jovian orbit from 1970 to 1973  comet shoemakerlevy 1993e may remain in orbit around jupiter long enough to allow galileo to make some closeup observations  the orbital trajectory for comet shoemakerlevy is still being determined a  what about positional uncertainties in sl 1993e   i assume we know where and what galileo is doing within a few meters   but without the hga  dont we have to have some pretty good ideas of where to look before imaging  if the hga was working  they could slew around in near real time less speed of light delay  but when they were imaging toutatis  didnt someone have to get lucky on a guess to find the first images     also i imagine sl 1993e will be mostly a visual image  so how will that affect the other imaging missions  with the lga  there is a real tight allocation of bandwidth   it may be premature to hope for answers but i thought id throw it on the floor  pat  ,2
11,11,from zemcikls pavel zemcik subject tseng et4000 pixel clock organization technical university of brno czech republic keywords et4000 svga pixel clock summary is there anybody who knows how to set et4000 svga pixel clock lines 19  i would like to program tseng et4000 to nonstandard 1024x768 mode by switching to standard 1024x768 mode using bios and than changing some timing details 0x3d4 registers 0x000x1f but i dont know how to select 36 mhz pixel clock i need the bios function selects 40 mhz  is there anybody who knows where to obtain technical info about this i am also interested in any other technical information about tseng et4000 and trident 8900 and 9000 chipsets  999thanks very much  999999pavel zemcik 999999dept of comp sci  eng 999999technical university of brno 999999bozetechova 2 9999      cs612 66 brno 999999czech republic 999999email zemcikdcsefeevutbrcs  ,1
12,12,from ddeciaccocixcompulinkcouk david deciacco subject re another cview question wa replyto ddeciaccocixcompulinkcouk lines 5   inreplyto 20apr199312262902rigeltamuedu lmp8913rigeltamuedu preston lisa m  i have a trident card and fullview works real gif jpg try it dave ,1
13,13,from pgfsrl03cacsusledu phil g fraering subject re comet in temporary orbit around jupiter articleid srl03pgf734063192 organization univ of southwestern louisiana lines 22  shagaeroorg rob unverzagt writes  in article 5apr199318045045kelvinjplnasagov baalkekelvinjplnasagov ron baalke writes  according the iau circular 5744 comet shoemakerlevy 1993e may be  temporarily in orbit around jupiter  the comet had apparently made a  close flyby of jupiter sometime in 1992 resulting in the breakup of the  comet  attempts to determine the comets orbit has been complicated by  the near impossibility of measuring the comets center of mass   am i missing something  what does knowing the comets center of mass do for you in orbit determination  shag  im not sure but it almost sounds like they cant figure out where the  nucleus is within the coma if theyre off by a couple hundred miles well you can imagine the rest   phil fraering         seems like every day we find out all sorts of stuff pgfsrl02cacsusledulike how the ancient mayans had televison repo man ,2
14,14,from kph2qonyxcsvirginiaedu kenneth hinckley subject   voice input  vendor information needed replyto kph2qonyxcsvirginiaedu kenneth hinckley organization university of virginia lines 27   hello      i am looking to add voice input capability to a user interface i am developing on an hp730 unix workstation  i would greatly appreciate  information anyone would care to offer about voice input systems that are  easily accessible from the unix environment        the names or adresses of applicable vendors as well as any  experiences you have had with specific systems would be very helpful       please respond via email i will post a summary if there is  sufficient interest   thanks ken   ps  i have found several impressive systems for ibm pcs but i would  like to avoid the hassle of purchasing and maintaining a separate pc if  at all possible   ken hinckley kph2qvirginiaedu university of virginia  neurosurgical visualization laboratory  ,1
15,15,from pyronskndivdsegticom dillon pyron subject re a wrench in the works lines 31 nntppostinghost skndivdsegticom replyto pyronskndivdsegticom organization tidseg vax support   in article 25228ksrcom jfwksrcom john f woods writes nandersoendorsimescom norman anderson writes jmcockereosncsuedu mitch writes effect that one of the ssrbs that was recovered after the recent space shuttle launch was found to have a wrench of some sort rattling around apparently inside the case i heard a similar statement in our local news utah tonight they referred to the tool as the pliers that took a ride into space they also said that a thiokol sp employee had reported missing a tool of some kind during assembly of one srb  it was a test of the first reusable tool   i assume then that someone at thiokol put on their managers hat and said that pissing off the customer by delaying shipment of the srb to look inside it was a bad idea regardless of where that tool might have ended up  why do i get the feeling that thiokol managers hats are shaped like cones  pointy so they can find them or so they will stick into their pants better and be closer to their brains  dillon pyron                       the opinions expressed are those of the tidseg lewisville vax support     sender unless otherwise stated 2144623556 when im here      2144924656 when im home     texans vote no on robin hood  we need pyronskndivdsegticom          solutions not gestures padi dm54909                       ,2
16,16,from jbrownbatmanbmdtrwcom subject re death penalty  gulf war lines 232  in article 9304191157076f2rusnewsw165wmantiscouk mathew mathewmantiscouk writes  jbrownbatmanbmdtrwcom writes in article 9304141210197e4rusnewsw165wmantiscouk mathew mathewmantiscouk writes  yes  fortunately we have rightthinking folks like your good self in power  and it was therefore deemed acceptable to slaughter tens or even hundreds o  thousands of iraqis in order to liberate oilhhhkuwait  we won the war  hurrah hurrah    the number of civilian iraqi deaths were way overexaggerated and   exploited for antiwar emotionalism by the liberal news media  the  facts are that less iraqis died in the gulf war than did civilians   in any other war of comparable size this century    lets analyze this claim a little  how is the size of a war defined  by  number of participants  geographical area  number of countries involved   number of casualties  size of armies duration numbers of casualties both absolute and as a percentage of those involved geographical area and numbers of countries too are all measures of size  in this case id say the relevant statistic would be the number of combatants total troops compared to total casualties from among the total civilian population in the affected geographical area     which other comparable wars are we talking about  vietnam and korea might make good comparisons     which liberal news media are we talking about    western news in general but in particular the american mass media cbs nbc abc etc  the general tone of the news during the whole war was one of those poor poor iraqis along with look how precisely this cruise missile blew this building to bits                                                      this was due mostly  to the short duration coupled with precise surgical bombing techniques  which were technically possible only recently    i suspect that medical advances may have something to do with it too  i agree     how about all the innocent people who died in blanketbombing in ww2  i dont hear you bemoaning them    perhaps because the topic hasnt cropped up  if you want my opinion i think  that the blanket bombing of german cities at the end of world war two was the  most appalling act of wholesale slaughter this country has committed in  centuries  bomber harris was no hero of mine  perhaps so  and maybe the atomic bomb was a mistake too  but thats easy to say from our enlightened viewpoint here in the 90s right  back then it was allout war and germany and japan had to be squashed after all a million or more british had already died hundreds of  thousands of french a couple hundread thousand or so americans and  millions of russians not to mention a few million jews poles and  other people of slavic descent in german concentration camps  all  things considered the firebombings and the atomic bomb were essential and therefore justified in bringing the war to a quick end to avoid even greater allied losses  i for one dont regret it                                     war is never an exact science but  with smart bombs its becoming more exact with a smaller percentage  of civilian casualties  sometimes mistakes are made targets are  misidentified innocents die  thats war the way it really is    entrenched political rulers operating in their own selfish interests without  regard for the lives of other people that is the way war really is  sure  and its the people who suffer because of them  all the more reason to depose these entrenched political rulers operating in their own selfish interests  or do you mean that this applies to the allies as well     why all the fuss about kuwait and not east timor bosnia or even tibet  if  iraq is so bad why were we still selling them stuff a couple of weeks before  we started bombing  i make no claim or effort to justify the misguided foreign policy of the west before the war  it is evident that the west especially america misjudged hussein drastically  but once hussein invaded kuwait and  threatened to militarily corner a significant portion of the worlds oil supply he had to be stopped  sure the war could have been prevented by judicious and concerted effort on the part of the west before hussein invaded kuwait but it is still hussein who is responsible for his decision to invade  and once he did so a strong response from the west was required     mathew your sarcasm is noted but you are completely offbase here  you come off sounding like a complete peacenik idiot although i  feel sure that was not your intent    whats your intent  to sound like a loving christian  well you arent  doing a very good job of it  well its not very loving to allow a hussein or a hitler to gobble up nearby countries and keep them  or to allow them to continue with mass slaughter of certain peoples under their dominion  so id have to say yes stopping hussein was the most loving thing to do for the most people involved once he set his mind on military conquest    so the iraqi war was wrong eh  im sure that appeasement would have  worked better than war just like it did in ww2 eh    who even mentioned appeasement  and what makes you think the situation is  even remotely analogous to world war two  i mentioned it  if we hadnt intervened allowing hussein to keep kuwait then it would have been appeasement  it is precisely the lessons the world learned in ww2 that motivated the western alliance to war  letting hitler take austria and czechoslavkia did not stop ww2 from happening and letting hussein keep kuwait would not have stopped an eventual gulf war to protect saudi arabia                                                               i guess we  shouldnt have fought ww2 either  just think of all those innocent  german civilians killed in dresden and hamburg    yes do  germans are human too you know    sure  what was truly unfortunate was that they followed hitler in his grandiose quest for a thousand year reich  the consequences stemmed from that   tyrants like hussein have to be stopped  his kind dont understand  diplomacy they only understand the point of a gun  my only regret is  that bush wimped out and didnt have the military roll into baghdad so  now hussein is still in power and the iraqi peoples sacrifice not to  mention the 357 americans who died was for naught    i look forward to hearing your incisive comments about east timor and tibet   what should i say about them  anything in particular    and as for poor poor rodney king  did you ever stop and think why  the jury in the first trial brought back a verdict of not guilty    yes  amongst the things i thought were hmm theres an awful lot of white  people in that jury  so  it was the policemen on trial not rodney king  and under american law they deserved a jury of their peers  if there had been black officers involved im sure their would have been black jurors too this point of allegedly racial motivations is really shallow     those who have been foaming at the mouth for the blood of those  policemen certainly have looked no further than the video tape  but the jury looked at all the evidence evidence which you and i  have not seen    when i see a bunch of policemen beating someone whos lying defenceless on  the ground its rather hard to imagine what this other evidence might have  been  so  its hard to imagine  so when has argument from incredulity gained acceptance from the revered author of constructing a logical argument  can we expect another revision soon    just kidding     if there is some wonderful evidence why is it seemingly being kept secret   why not tell everyone what it is  then everyone could say oh yes youre  right king deserved a good beating and we could all live happily ever  after  i have to admit that i wonder this too  but neither the prosecution nor the defense is talking  so one cannot conclude either way due to the silence of the principals       law in this country is intended to protect the rights of the accused  whether they be criminals or cops  one is not found guilty if there is  a reasonable doubt of ones guilt and only the jury is in a position  to assess the evidence and render a verdict    fine but im still finding it hard to imagine what the reasonable doubt  was in this case  i mean the cops certainly seem to be beating someone  whos lying defenceless on the ground  whats your explanation  mass  hallucination  orbital mindcontrol lasers  faked video footage  do tell    ok  it certainly seemed to me that there was excessive force involved and frankly the original not guilty verdict baffled me too  but then i learned that the prosecution in the first case did not try to convict on a charge of excessive force or simple assault which they probably would have won they tried to get a conviction on a charge of aggravated assault with intent to inflict serious bodily harm  a charge which news commentators said was akin to attempted murder under california law  based on what the prosecution was asking for its evident that  the first jury decided that the officers were not guilty  note  not not guilty of doing wrong but not guilty of aggravated assault  with the intent of inflicting serious bodily harm  the seeds of the  prosecutions defeat were in their own overconfidence in obtaining a  verdict such that they went for the most extreme charge they could  if the facts as the news commentators presented them are true then i feel the not guilty verdict was a reasonable one     mathew   thou shalt not kill unless thou hast a pretty good reason for killing     in which case thou shalt kill and also kill anyone who gets in the way     as unfortunately it cannot be helped                                      jim brown bible for loving christians   thanks mathew i like the quote  pretty funny actually  im a  monty python fan you know  kind of seems in that vein  of course oversimplifying any moral argument can make it seem contradictory  but then you know that already    regards  jim b loving christian    ,0
17,17,from dpageracscticom doug page subject re quaint us archaisms nntppostinghost ra organization texas instruments lines 41  in article c512wcb0m1cscmuedu nickhcscmuedu nick haines writes  in article 1993apr217015724251ke4zvuucp garyke4zvuucp gary coffman writes   stuff deleted  of course the units of force have the same names as those of weight  but in order to use them you need to keep useful constants like the  omnipresent 32 ftsec2 around    maybe youd like to go over again how this system is so natural and  so easy to use gary while youre at it you can figure out for us  the weight of 17 barrels and a quart of foo density 17lb 2 34 oz per  cubic foot on the moon gravity 5 ft 7 332 insec2 lets face it  even the imperial system uses a basically metric way of relating  quantities ie that would be written as 559 ftsec2 the only  thing youre hanging on to is the right to express the same quantity  as 1731 inches 14425 feet 480833 yards or 2186 chains what  everyone else is saying is why do you want to do that    any apparent remaining complexity in the si system is due to the  multiplicity of the aforesaid prefixes in fact whats going on and  the fundamental difference between si and imperial is that you have  exactly one unit of each type and all values of that type are  expressed as some multiple of the unit  you mean like seconds minutes hours days months years      remember  the fahrenheit temperature scale is also a centigrade scale  some revisionists tell the history something like this  the coldest point in a particular russian winter was marked on the thermometer as was the body temperature of a volunteer turns out he was sick but you cant win em all then the space in between the marks on the thermometer was then divided into hundredths 99999999  fwiw  doug page     the opinions are mine maybe and do not necessarily represent those     of my employer or any other sane person fot that matter             ,2
18,18,from henryzootorontoedu henry spencer subject re orion drive in vacuum  how organization u of toronto zoology lines 17  in article 1quh78innf45elroyjplnasagov pjseuclidjplnasagov writes  the national air  space museum has both the prototype and the film  when i was there some years ago they had the prototype on display  great ill visit the national air and space museum at the end of the  month  sorry to put a damper on your plans but i was there three weeks ago and it wasnt there  not that i would have known to look for it of course but i combed the space exhibits pretty thoroughly and something like that would have caught my attention instantly  it wasnt especially prominent as i recall  however quite possibly its no longer on display nasm like most museums has much more stuff than it can display at once and does rotate the displays occasionally   all work is one mans work              henry spencer  u of toronto zoology                      kipling             henryzootorontoedu  utzoohenry ,2
19,19,from edmtwistocompaqcom ed mccreary subject re federal hearing inreplyto dmcgeeuluhesoesthawaiiedus message of fri 16 apr 1993 04 2109 gmt organization compaq computer corp distribution usa lines 19   on fri 16 apr 1993 042109 gmt dmcgeeuluhesoesthawaiiedu don mcgee said dm fact or rumor  madalyn murray ohare an atheist who eliminated the dm use of the bible reading and prayer in public schools 15 years ago is now dm going to appear before the fcc with a petition to stop the reading of the dm gospel on the airways of america  and she is also campaigning to remove dm christmas programs songs etc from the public schools  if it is true dm then mail to federal communications commission 1919 h street washington dc dm 20054 expressing your opposition to her request  reference petition number  dm 2493  false  this story has been going around for years  theres not a drop of truth  note that i dont care for ohare ohair myself but this is one thing shes not guilty of   ed mccreary                                               o edmtwistocompaqcom                                     if it were not for laughter there would be no tao   ,3
20,20,from awsitiorg allen w sherzer subject re conference on manned lunar exploration may 7 crystal city organization evil geniuses for a better tomorrow distribution na lines 19  in article c5rhocftynewscsouiucedu jbh55289uxacsouiucedu josh hopkins writes   i remeber reading the comment that general dynamics was tied into this in  connection with their proposal for an early manned landing  sorry i dont  rember where i heard this but im fairly sure it was somewhere reputable  anyone else know anything on this angle  if by that you mean anything on the gd approach there was an article on it in a recent avation week i dont remember the exact date but it was recent   allen      lady astor   sir if you were my husband i would poison your coffee     w churchill madam if you were my wife i would drink it              56 days to first flight of dcx ,2
21,21,from neidecknestvxenetdeccom burkhard neideckerlutz subject re rumours about 3do  organization cec karlsruhe lines 17 nntppostinghost nestvx  in article 1993apr1516494011632mercuryuntedu sean mcmains mcmainsuntedu writes wow a 68070 id be very interested to get my hands on one of these especially considering the fact that motorola has not yet released the 68060 which is supposedly the next in the 680x0 lineup 8d  the 68070 is a variation of the 68010 that was done a few years ago by the european partners of motorola it has some integrated io controllers and half a mmu but otherwise its a 68010 think of it the same as the 8086 and 80186 were  99burkhard neideckerlutz  distributed multimedia group cec karlsruhe          eerp portfolio manager software motion pictures  berkom ii project         multimedia base technology digital equipment corporation neideckernestvxenetdeccom  ,1
22,22,from jmerittmentalmitreorg subject gods promise of peace organization utexas mailtonews gateway lines 6 nntppostinghost csutexasedu  psa 1459  the lord is good to all and his  tender  mercies  are over all his works  jer 1314  and i will dash them one against another even the fa thers and the sons together saith the lord i will not pity nor spare nor have mercy but destroy them ,3
23,23,from kilroygbororowanedu dr nancys sweetie subject re food for thought on tyre summary another inerrantist rewrites the bible keywords scripture implication prophesy woof organization rowan college of new jersey disclaimer brandy the wonderdog hopes his doghouse will be rebuilt lines 93   there has been a lot of discussion about tyre  in sum ezekiel prophesied that the place would be mashed and never rebuilt as there are a lot of people living there it would appear that ezekiel was not literally correct  this doesnt bother me at all because i understand the language ezekiel used differently than do socalled biblical literalists  for example it sometimes happens that someone says my grandson is the cutest baby and then turns around and sees the granddaughter and says oh  isnt she the cutest thing  this person is not literally claiming to have lined up all the babies in the world according to cuteness and discovered his own grandchildren tied for first  rather he is trying to express his emotions using words that are very objectoriented  because this example is one that is common to many people nobody misunderstands the intent of the statements the bible however is often at the mercy of people who assume that everything within must be exactly literally true  for those people the existence of tyre is a problem for me it is not   turning to the latest person trying to defend ezekiel we read this from john e king   the prophesy clearly implies that people would still be living in the  area  no it implies nothing of the kind  if you had nothing but the prophecy from ezekiel and you were told you interpret it literally you would never say oh he means that there will be houses and businesses and plants and stuff like that  you would read i will make you a bare rock and you will never be rebuilt and youd conclude that tyre would be a bare rock  the only way to get from fishing nets to houses and buildings and a mediumlarge population is if you know that all that latter stuff is there  in other words your answer means that ezekiel misled everybody who read the prophecy at the time it was written  there is no way that given a literal reading they could read this passage and conclude mediumsize city  you seem to feel that never be rebuilt means be rebuilt  maybe so but it is hardly a clear implication   mr king also writes   so far ive seen stated figurers ranging from 15000 to 22000  lets assume the latter one is correct  by modern standards  we are talking about a onehorse town  well no  thats only a bit less than the population of annapolis where im from  you know the naval acadamy the state capital george washington resigned his commission in the statehouse  annapolis may not be new york but its at least a twohorse town  but supposing 22000 people is a small town  its still 22000 people more than ezekiel predicted   and youve said nothing about the other problem  in chapter 26 ezekiel predicts that nebuchadnezzar will will destroy tyre and loot all their valuables  however nebuchadnezzar did not destroy tyre and in chapter 29 ezekiel even quotes god as saying he and his army got no reward from the campaign he led against tyre  lets ignore alexander for a moment and just pay attention to chapter 26 ezekiel says n would destroy tyre and n did not destroy tyre  ezekiel says that n would plunder their valuables but n did not plunder their valuables  regardless of what you think about tyre now the fact is that n died before the place was destroyed  ezekiel said n was going to do it and n did not     this post is of course pointless  inerrantists have an amazing ability to rewrite the bible as needed to fit whatever they want it to say  for example i expect mr king to respond to the comments about ezekiel 26 by pulling some clear implications out of hat  when ezekiel said that n would demolish your towers that clearly implied that the walls would still be standing so people would know where the towers used to be  and when ezekiel said that n would demolish your fine houses and throw your stones timber and rubble into the sea that clearly implied that n would never set foot on the island  and when ezekiel wrote that n would build a ramp up to your walls that clearly implies that n would spend 13 years stomping around on the mainland and never get close to the walls  see  a few clear implications that are totally contrary to the text and you can reconcile anything you want   darren f provine  kilroygbororowanedu do you know why im the enabler  because you demand it  cliff claven ,3
24,24,from rwscsarizonaedu ronald w schmidt subject outlining of spline surface keywords spline rasterization lines 38   9about a year ago i started work on a problem that appeared to be very simple and turned out to be quite difficult  i am wondering if anyone on the net has seen this problem and hopefully some published  solutions to it  9the problem is to draw an outline of a surface defined by two roughly parallel cubic splines  for inputs the problem essentially starts with two sets of points where each set of points is on the  edge of an object which we treat as two dimensional ie only extant between the edges but which exists in three dimensional space  to draw  the object we   1 fit a cubic spline through the points  each spline is effectively 9computed as a sequence of line segments approximating the         curve  each spline has an equal number of segments  we assume 9that the nth segment along each spline is roughly but not 9exactly the same distance along each spline by any reasonable 9measure 2 take each segment n along each spline and match it to the nth segment 9of the opposing spline  use the pair of segments to form two 9triangles which will be filled in to color the surface 3 depth sort the triangles 4 take each triangle in sorted order project onto a 2d pixmap draw 9and color the triangle  take the edge of the triangle that is 9along the edge of the surface and draw a line along that edge 9colored with a special edge color  9it is the edge coloring in step 4 that is at the heart of the problem  the idea is to effectively outline the edge of the surface the net result however generally has lots of breaks and gaps in the edge of the surface  the reasons for this are fairly complicated they involve both rasterization problems and problems resulting from the projecting the splines  if anything about this problem sounds familiar we would appreciate knowing about other work in this area  thanks ,1
25,25,from tonyopendragoncnatekcom tony ozrelic subject need info on ccmail file format organization tektronix inc redmond oregon lines 13  i need the file format for ccmail file formats  it seems to be pcxbased but with a twist only the first page of a multipage fax will come out readable the other pages disappear the format seems to be proprietary  anybody got any clues i have to give my email faxes to my secretary in order to get em unscrambled i want a filter from ccmail to pnbm  come to think of it pnbm to ccmail would be nice too  tonyomastercnatekcom    ,1
26,26,from baalkekelvinjplnasagov ron baalke subject re keeping spacecraft on after funding cuts organization jet propulsion laboratory lines 15 distribution world nntppostinghost kelvinjplnasagov newssoftware vaxvms vnews 141      in article 1993apr20204335157595zeuscalpolyedu jgreentrumpetcalpolyedu james thomas green writes why do spacecraft have to be shut off after funding cuts  for example why couldnt magellan just be told to go into a safe mode and stay bobbing about venus in a lowpoweruse mode and if maybe in a few years if funding gets restored after the economy gets better hopefully it could be turned on again    it can be but the problem is a political one not a technical one                                 ron baalke          baalkekelvinjplnasagov                    jet propulsion lab               ms 5253684 telos  the aweto from new zealand             pasadena ca 91109  is part caterpillar and                                part vegetable  ,2
27,27,from tp892275vinecanberraeduau c mierzanowski subject which video card please help organization info sci  eng university of canberra australia lines 13   ive got a 386 20hz computer which is under warranty and my trident 8900c video card is starting to playup surprise surprise therefore im going to try to exchange it for a better card  the big question is  which video card is high quality and with an acceptable price tag on student budget   9thank you in advance   ,1
28,28,from brodyeosarcnasagov adam r brody  subject re conference on manned lunar exploration may 7 crystal city organization nasa ames research center distribution na lines 14  prbaccessdigexcom pat writes   awst  had a brief blurb on a manned lunar exploration confernce may 7th  at crystal city virginia under the auspices of aiaa  does anyone know more about this  how much to attend  anyone want to go  pat  i got something in the mail from aiaa about it  cost is 75 speakers include john pike hohn young and ian pryke ,2
29,29,from ch981clevelandfreenetedu tony alicea subject re rosicrucian orders  organization case western reserve university cleveland oh usa lines 13 replyto ch981clevelandfreenetedu tony alicea nntppostinghost helainscwruedu   in a previous article sandviknewtonapplecom kent sandvik says  well it depends how you look at it if you are interested i might find out what the latest status is in this legal battle kent  9please do and if you dont want to post it here email to me  i dont know how this discussion is appreciated here i hate invading newsgroups with themes of limited interest   tony  ,3
30,30,from bobbeviceicotekcom robert beauchaine subject re after 2000 years can we say that christian morality is organization tektronix inc beaverton or lines 18  in article c5jxru2t8newscsouiucedu cobbalexialisuiucedu mike cobb writes what do you base your belief on atheism on  your knowledge and reasoning  couldnt that be wrong     actually my atheism is based on ignorance  ignorance of the   existence of any god  dont fall into the atheists dont believe   because of their pride mistake      bob beauchaine bobbeviceicotekcom   they said that queens could stay they blew the bronx away and sank manhattan out at sea   ,0
